hand_id,review_url,start_seconds,end_seconds,top_cards,bottom_cards,board,pot
hcl_ivey_dwan_garrett_dense_169,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=25440s,25440,25650,As 9c,8h 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_170,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=25534s,25534,25744,As Td,8c 3c,5c 6c Js,
hcl_ivey_dwan_garrett_dense_171,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=25661s,25661,25871,Kh Td,3s 2h,5c Ah Js,
hcl_ivey_dwan_garrett_dense_172,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=25820s,25820,26030,Kc Qd,3s 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_173,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=25949s,25949,26159,Kh 7s,3s 6d,Jh 5c 2c Js,
hcl_ivey_dwan_garrett_dense_176,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=26260s,26260,26470,As 7s,3s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_177,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=26410s,26410,26620,As 7s,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_178,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=26551s,26551,26761,As Td,8h 6d,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_179,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=26642s,26642,26852,As Td,8h 6d,5c Ah Js,
hcl_ivey_dwan_garrett_dense_180,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=26742s,26742,26952,As 7s,3s 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_182,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=26952s,26952,27162,Kh Td,3s 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_188,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=27651s,27651,27861,As Td,3s 4c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_190,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=27939s,27939,28149,Kh Td,8h 3c,Jh 7h 6c Js,
hcl_ivey_dwan_garrett_dense_192,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=28164s,28164,28374,As 9c,8h 3c,Jh 7h 6c Js 5s,
hcl_ivey_dwan_garrett_dense_193,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=28322s,28322,28532,As 9c,4s 2h,Jh 7h 6c Js 5s,
hcl_ivey_dwan_garrett_dense_195,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=28526s,28526,28736,Kh Td,4s 2h,Jh 5c 6c 3d,
hcl_ivey_dwan_garrett_dense_196,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=28624s,28624,28834,5h 5d,4s 3c,Jh 5c 3d,
hcl_ivey_dwan_garrett_dense_197,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=28721s,28721,28931,Kh 9c,4s 4c,,
hcl_ivey_dwan_garrett_dense_198,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=28871s,28871,29081,Kh 7s,3s 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_199,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=29011s,29011,29221,Kh 9c,3s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_200,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=29159s,29159,29369,As 9c,4s 2h,Jh 5c 6c Js,
