site,player,n_hands,m,sd,bb100,se,lo,hi
ONG,oiWXG+XX7uh5eY8mk8lJLA,7384,-0.14839715543551166,10.906037781401126,-14.839715543551165,12.691739625660212,-39.71552520984518,10.036094122742849
IPN,5bHGA0K8NoMNk9QgtqcKig,6290,-0.14845786839486685,3.830733642114225,-14.845786839486685,4.830105680547321,-24.312793973359433,-5.378779705613935
ONG,b5c+wTH5VKKFWcBTeRDj1w,5785,-0.14861452234659406,12.949220549798978,-14.861452234659406,17.02518917038898,-48.23082300862181,18.507918539302995
IPN,BYiifS80CetpYMQ7FfiNxA,10431,-0.14878127716860964,2.9741822865062315,-14.878127716860964,2.9120887732458858,-20.5858217124229,-9.170433721299029
ONG,0MGqKPJf4zFkDI/QA3ZHHA,5051,-0.14882598005764747,10.585586026627915,-14.882598005764747,14.894510044766466,-44.07583769350702,14.310641681977527
PTY,Y107tbxqZ/wVlxZN9DAEdQ,6730,-0.15009648262718236,8.815865184031164,-15.009648262718237,10.746261587293745,-36.07232097381397,6.053024448377503
PS,WXnSKsnnZET7kmvJH7SqiQ,8552,-0.15041763950757842,10.30151438405486,-15.041763950757842,11.139539227299736,-36.875260836265326,6.791732934749641
PS,n03XAYdaR6WAbtaL/YXWbQ,16831,-0.1505440473924488,8.430497453866906,-15.05440473924488,6.498277323659439,-27.79102829361738,-2.3177811848723806
PTY,hePYAXSpxkV4mr19NFTctQ,5880,-0.1510346693271885,10.808907651308028,-15.10346693271885,14.095910815741883,-42.731452131572944,12.52451826613524
PS,xUjEh0yvDP0fPWel0kx39A,10956,-0.15111647244487073,8.167565775282968,-15.111647244487072,7.803090229865784,-30.405704095024007,0.18240960604986434
